ECMKey,Site_Name,Desc_English,Desc_Spanish,LocAddress,LocCity,LocState,LocZip,Phone_Number,URL,Ages_Served,Ages_Zero_Three_Y_N,Ages_Three_Five_Y_N,Part_Day_Y_N,Full_Day_Y_N,Full_Year_Y_N,School_Year_Y_N,Operating_Hours,School_Based_Y_N,Community_Based_Y_N,Head_Start_Y_N,Accepts_CCAP_Y_N,Home_Visiting_Y_N,Languages_other_than_English,Lang2,Lang3,Other_Features,Accreditation,Location,Agency_Associated_With,Modified_on,Quality_Rating,Availability_Level
107,All About Kids Learning Academy,,,514 E 75th St,Chicago,IL,60619,773-892-2800,www.allaboutkidslearning.com,6 weeks to 5 years,True,True,False,True,True,True,6:30am-6:00pm,False,True,False,True,False,,,,,,,Ada S McKinley Community Services,9/18/2016 9:17:46 PM,Silver,Low
108,Allison's Infant and Toddler Center - Englewood,,,5522 S Racine Ave,Chicago,IL,60636,773-436-3193,http://www.allisonsinfantandtoddler.com,0 years to 6 years,True,True,True,True,True,False,6:00am-6:00pm,False,True,False,True,False,,,,,NAEYC,,Allisons Infant and Toddler Center,9/16/2016 1:53:07 PM,Gold,High
137,Carole Robertson Center for Learning - 19th Street,,,2929 W 19th St,Chicago,IL,60623,312-243-7300,www.crcl.net,6 weeks to 12 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,True,True,Spanish,,,,NAEYC,,Carole Robertson Center for Learning,9/18/2016 9:18:56 PM,Gold,High
152,ABC Polk Brothers Early Childhood Program,,,3415 W 13th Pl,Chicago,IL,60623,773-762-5655,www.chicagoyouthcenters.org,3 years to 5 years,False,True,False,True,True,False,7:00am-6:00pm,False,True,False,True,False,,,,,,,Chicago Youth Centers,9/18/2016 9:19:49 PM,Licensed,High
165,City Colleges of Chicago - Kennedy-King College,,,710 W 65th St,Chicago,IL,60621,773-602-5481,www.ccc.edu/colleges/kennedy,2 years to 5 years,True,True,False,False,False,False,7:30am-5:30pm,False,True,False,False,False,Spanish,,,,NAEYC,,city Colleges of chicago,9/19/2016 6:33:08 AM,Gold,High
167,City Colleges of Chicago - Olive Harvey,,,"10001 S Woodlawn Ave, #1105",Chicago,IL,60628,773-291-6317,www.ccc.edu/Pages/default.aspx,3 years to 5 years,False,True,False,False,False,False,7:30am-5:00pm,False,True,False,False,False,Spanish,,,,"Awards of Excellence, NAEYC",,ccc,9/21/2016 6:46:26 AM,Gold,High
168,City Colleges of Chicago - Richard J. Daley,,,"7500 S Pulaski Rd, #1120",Chicago,IL,60652,773-838-7562,www.ccc.edu/Pages/default.aspx,3 years to 6 years,False,True,False,True,False,False,8:00am-3:00pm,False,True,False,False,False,Spanish,,,,NAEYC,,city colleges of chi,9/21/2016 6:47:37 AM,Licensed,Medium
173,State of Illinois Child Development Center,,,"160 N LaSalle St, #201",Chicago,IL,60601,312-814-4782,www.earlychildcareservices.com,2 years to 6 years,True,True,False,True,True,True,7:30am-6:00pm,False,True,False,True,False,Bulgarian,,Spanish,,NAEYC,,Early Child Care Services,9/21/2016 6:48:29 AM,Gold,High
192,Kiddy Kare Learning Centers - Kiddy Kare,,,4401 S Kedzie Ave,Chicago,IL,60632,773-247-6642,www.kiddykaredaycare.com,13 months to 12 years,True,True,True,True,True,False,6:00am-6:00pm,False,True,False,True,True,Spanish,,,,"Awards of Excellence, NAEYC",,El Valor,9/18/2016 9:22:31 PM,Licensed,High
204,Little Kids Village Learning II,,,2656 W 71st St,Chicago,IL,60629,773-776-4753,www.littlekidsvillage.com,6 weeks to 6 years,True,True,True,True,True,False,6:00am-6:00pm,False,True,False,True,False,Spanish,,,,QRS,,Mary Crane Center,9/19/2016 6:34:41 AM,Silver,Medium
210,Marillac St. Vincent Family Services - St. Vincent Depaul Center,,,2145 North Halsted Street,Chicago,IL,60614,312-943-6776,www.marillacstvincent.org,3 months to 13 years,False,True,True,True,True,False,7:00am-6:00pm,False,True,False,True,False,Spanish,,,,NAEYC,,Marillac St Vincent Family Service,9/18/2016 9:25:20 PM,Gold,Low
212,Mary Crane Center - Lathrop,,,2905 N Leavitt Ave,Chicago,IL,60618,773-938-8130,www.marycrane.org,6 weeks to 5 years,True,True,True,True,True,True,7:00am-6:00pm,False,True,False,True,False,Spanish,,,,NAEYC,,Mary Crane Center,9/19/2016 6:35:17 AM,Licensed,Medium
236,Pathways to Learning Child Care Centers - Ashburn,,,3450 W 79th St,Chicago,IL,60652,773-436-9244,www.pathwaystolearning.com,15 months to 5 years,True,True,False,True,True,True,6:00am-6:00pm,False,True,False,True,False,Spanish,,,,NAEYC,,Pathways to Learning Child Care Centers,9/19/2016 6:36:32 AM,Licensed,High
241,South East Asia - International Bridge School,,,5120 N Broadway,Chicago,IL,60640,773-989-7433,www.se-asiacenter.org,3 years to 5 years,False,True,False,True,True,False,7:00am-6:00pm,False,True,False,True,False,Amharic,Chinese (Simplified),Arabic,,NAEYC,,South East Asia Center,9/21/2016 7:40:24 AM,Gold,Medium
242,Stepping Stones Early Childhood Learning Center,,,1300 E 75th St,Chicago,IL,60619,773.493.0000,www.sseclc-chicago.com,15 months to 5 years,True,True,False,True,True,True,6:30am-6:30pm,False,True,False,True,True,,,,,NAEYC,,Ada S McKinley Community Services,9/19/2016 6:37:06 AM,Gold,Medium
243,Teddy Bear 1,,,2649 W 51st St,Chicago,IL,60632,773-476-0700,www.teddybeardaycare.com,6 weeks to 12 years,True,True,True,True,True,True,6:30am-6:00pm,False,True,False,True,False,Spanish,,,,,,El Valor,9/19/2016 6:37:31 AM,Silver,High
244,Teddy Bear 2,,,3473 W Columbus Ave,Chicago,IL,60652,773-434-2327,www.teddybeardaycare.com,6 weeks to 12 years,True,True,True,True,True,True,6:30am-6:00pm,False,True,False,True,False,Spanish,,,,,,El Valor,9/19/2016 6:37:46 AM,Silver,High
245,Teddy Bear 3,,,6401 S Pulaski Rd,Chicago,IL,60629,773-284-2292,www.teddybeardaycare.com,3 years to 5 years,False,True,True,True,True,True,6:30am-6:00pm,False,True,False,True,False,Spanish,,,,,,El Valor,9/19/2016 6:38:06 AM,Silver,High
246,Teddy Bear 5,,,5160 S Pulaski Rd,Chicago,IL,60632,773-284-7030,www.teddybeardaycare.com,6 weeks to 12 years,True,True,True,True,True,True,6:30am-6:00pm,False,True,False,True,False,Spanish,,,,,,El Valor,9/19/2016 6:38:21 AM,Silver,High
247,Dr Jeremiah A Wright Jr Early Care & Learning Center,,,532 W 95th St,Chicago,IL,60628,773-9661503,www.tuccchildcarecenter.com,6 weeks to 12 years,True,True,False,True,True,False,7:00am-6:00pm,False,True,False,True,False,,,,,,,Trinity United Church of Christ,9/19/2016 6:39:13 AM,Licensed,High
248,Dr Denton J Brooks Head Start Program,,,6921 S Stony Island Ave,Chicago,IL,60617,773-966-1596,www.tuccchildcarecenter.com,2 years to 5 years,True,True,False,True,True,False,7:00am-6:00pm,False,True,False,True,False,,,,,,,Trinity United Church of Christ,9/19/2016 6:39:48 AM,Licensed,High
253,YMCA - Effie O Ellis,,,10 S Kedzie Ave,Chicago,IL,60612,773-533-9011,www.ymcachicago.org/programs/child-care-education,3 years to 5 years,False,True,False,True,True,False,7:30am-5:30pm,False,True,False,True,True,Spanish,,,,"Awards of Excellence, NAEYC",,YMCA,9/19/2016 6:40:16 AM,Gold,High
271,Albany Park Kimball Head Start,,,5101 N Kimball Ave,Chicago,IL,60625,773-509-5657,www.apccchgo.org,3 years to 5 years,False,True,True,True,True,True,7:30am-5:30pm,False,True,False,True,False,Gujarati,Hindi,Gujarati,,NAEYC,,Kimball Head Start,9/19/2016 6:40:50 AM,Gold,High
277,Kimball Day Care,,,5101 N Kimball Ave,Chicago,IL,60647,(773)-509-5657,www.chicagocommons.org,6 weeks to 12 years,True,True,False,False,False,False,6:00am-5:30pm,False,True,False,True,False,Spanish,,,,,,Albany Park Community Center,9/20/2016 1:26:04 PM,Silver,High
282,Smart From The Start - Armitage,,,4135 W Armitage Ave,Chicago,IL,60639,773-697-7057,www.smartfromthestart.net,6 weeks to 12 years,True,True,False,True,True,True,6:00am-6:00pm,False,True,False,False,False,Spanish,,,,,,Chicago Commons Association,9/19/2016 6:41:28 AM,Licensed,High
297,FIFTH CITY Child Development Institute Inc,,,3411 W 5th Ave,Chicago,IL,60624,773-826-8686,,2 years to 12 years,True,True,True,True,True,True,6:00am-6:30pm,False,True,False,True,False,,,,,DCFS License,,Easter Seals Society of Metropolitan Chicago,9/19/2016 6:42:15 AM,Licensed,High
303,El Valor - Carlos Cantu,,,2434 S Kildare Ave,Chicago,IL,60623,773-242-2700,www.elvalor.org,3 years to 5 years,False,True,True,True,True,True,7:00am-6:00pm,False,True,False,True,True,Spanish,,,,,,El Valor,9/19/2016 6:42:55 AM,Licensed,High
304,El Valor - Centro Infantil (Puerto Rican Comm),,,2739 W Division St,Chicago,IL,60622,773-342-8866,www.prcc.org,3 years to 5 years,False,True,False,False,True,False,6:00am-6:00pm,False,True,False,True,False,Spanish,,,,,,El Valor,9/19/2016 6:43:50 AM,Licensed,Medium
306,El Valor - Guadalupe Reyes Children & Family Center,,,1951 W 19th Street,Chicago,IL,60623,312-997-2021,www.elvalor.org,3 years to 5 years,False,True,True,True,True,True,7:00am-5:00pm,False,True,False,True,True,Spanish,,,,,,El Valor,9/19/2016 6:44:17 AM,Licensed,High
320,M & E Daycare,,,3728 W 79TH ST,Chicago,IL,60652,773.585.7979,http://gadshillcenter.org,6 weeks to 12 years,True,True,False,False,True,False,6:00am-6:30pm,False,True,False,True,False,Arabic,,Spanish,,,,Gads Hill Center,9/19/2016 6:44:45 AM,Licensed,High
324,Wholly Innocence Daycare Center,,,34 N Sangamon St,Chicago,IL,60607,312-226-7984,http://www.hcenter.org,6 weeks to 5 years,True,True,True,True,True,False,8:00am-5:30pm,False,True,False,True,False,,,,,DCFS Licensed,,Haymarket Center,9/19/2016 6:45:14 AM,Licensed,Medium
338,North Kenwood Day Care Center,,,"516 E 43rd St, #518",Chicago,IL,60653,773-268-2223,www.henryboothhouse.org,6 weeks to 6 years,True,True,True,True,True,True,7:00am-6:00pm,False,True,False,True,False,,,,,,,Henry Booth House,9/21/2016 6:49:26 AM,Silver,High
356,A N Pritzker School,,,2009 W Schiller St,Chicago,IL,60622,773-534-4415,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610229,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 6:59:52 AM,Gold,Low
357,Adlai E Stevenson Elementary School,,,8010 S Kostner Ave,Chicago,IL,60652,773-535-2280,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610185 ,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 7:00:17 AM,Gold,Low
363,Alice L Barnard Computer Math & Science Center Elementary School,,,10354 S Charles St,Chicago,IL,60643,773-535-2625,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609788,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:36:12 AM,Gold,Low
366,Anna R Langford Community Academy,,,6010 S Throop St,Chicago,IL,60636,773-535-9180,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609869,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:37:01 AM,Gold,Low
403,Charles Sumner Math & Science Community Academy Elementary School,,,4320 W 5th Ave,Chicago,IL,60624,773-534-6730,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610194 ,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:37:49 AM,Gold,Low
423,Dr Jorge Prieto Math and Science Academy Elementary School,,,2231 N Central Ave,Chicago,IL,60639,773-534-0210,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610533,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:38:45 AM,Silver,Low
424,Dr Martin L King Jr Academy of Social Justice,,,644 W 71st St,Chicago,IL,60621,773-535-3875,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610299,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:39:39 AM,Gold,Low
515,James Weldon Johnson Elementary School of Excellence,,,1420 S Albany Ave,Chicago,IL,60623,773-534-1829,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610274,3 years to 5 years,False,True,False,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:41:14 AM,Gold,Low
532,John Foster Dulles Elementary School of Excellence,,,6311 S Calumet Ave,Chicago,IL,60637,773-535-0690,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610263,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:56:05 AM,Licensed,Low
602,Michael Faraday Elementary School,,,3250 W Monroe St,Chicago,IL,60624,(773)-534-6670,http://www.cps.edu/Schools/Pages/school.aspx?Schoo,3 years to 5 years,False,True,True,True,False,True,7:00 AM - 6:00 PM,True,False,False,False,False,Spanish,,,,COA,,Chicago Public Schools,9/21/2016 8:50:18 AM,Licensed,Low
606,Morton School of Excellence,,,431 N Troy St,Chicago,IL,60612,773-534-6791,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610257,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 8:57:30 AM,Silver,Medium
611,Nathanael Greene Elementary School,,,3525 S Honore St,Chicago,IL,60609,773-535-4560,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=609952,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/20/2016 12:42:55 PM,Gold,Low
652,Rodolfo Lozano Bilingual & International Center Elementary School,,,1501 N Greenview Ave,Chicago,IL,60642,773-534-4750,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610029,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:02:28 AM,Gold,Low
676,Walt Disney II Magnet School,,,3815 N Kedvale Ave,Chicago,IL,60641,773-534-3750,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610515,3 years to 5 years,False,True,True,True,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:03:11 AM,Gold,Low
681,Wendell E Green Elementary School,,,1150 W 96th St,Chicago,IL,60643,773-535-2575,http://www.cps.edu/Schools/Pages/school.aspx?SchoolID=610032,3 years to 5 years,False,True,True,False,False,True,,True,False,False,False,False,,,,,,,Chicago Public Schools,9/19/2016 9:03:51 AM,Silver,Low
715,Carole Robertson Center for Learning - Roosevelt,,,2020 W Roosevelt Rd,Chicago,IL,60608,312-243-7300,http://www.crcl.net,0 years to 5 years,True,True,True,True,True,True,6:00 AM - 6:00 PM,False,True,False,True,True,Spanish,,,,NAEYC,,Carole Robertson Center for Learning,9/19/2016 6:46:12 AM,Licensed,Medium
733,Little Folks Daycare,,,5926 W Madison Ave,Chicago,IL,60644,773-379-4419,,6 weeks to 5 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,,,,,,,Little Folks Cottage,9/19/2016 6:46:41 AM,Licensed,Medium
737,Chicago Commons Association - Learn Together Grow Together Child Development C.,,,1126 W 99th St,Chicago,IL,60643,773-568-4769,www.chicagocommons.org,6 weeks to 12 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,Spanish,,,,,,Chicago Commons Association,9/19/2016 6:47:50 AM,Licensed,Medium
738,First Steps Learning Daycare,,,6401 S Ashland Ave,Chicago,IL,60636,,www.chicagoyouthcenters.org,6 weeks to 6 years,True,True,False,False,False,False,6:00am-6:00pm,False,True,False,False,False,,,,,,,Chicago Youth Centers,9/19/2016 6:48:22 AM,Licensed,Medium
746,Austin Town Hall Children's Center,,,5610 W Lake St,Chicago,IL,60644,773-379-0901,,3 years to 5 years,False,True,False,False,False,False,7:30am-5:30pm,False,True,False,False,False,Spanish,,,,NAEYC,,Lutheran Social Services,9/19/2016 6:49:15 AM,Licensed,Medium
748,Easter Seals Society of Metropolitan Chicago - Gilchrist Marchman,,,1312 S Racine Ave,Chicago,IL,60608,312-492-7402,www.eastersealschicago.org,6 weeks to 5 years,True,True,False,True,True,True,7:00am-6:00pm,False,True,False,True,False,Chinese (Traditional),Spanish,French,,NAEYC,,Easter Seals Metropolitan Chicago,9/19/2016 6:50:02 AM,Gold,High
